epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,48982,1.00007,0.47113,0.89618,0.89231,0.75858,0.82444,0.51331,1.32542,0.58302,1.01499,0.0016345,0.0016345,0.0016345
171,49197.8,1.00555,0.47051,0.89515,0.89254,0.75852,0.82457,0.51357,1.32548,0.5829,1.01494,0.001585,0.001585,0.001585
172,49412.1,0.99959,0.47021,0.89436,0.89286,0.75857,0.82464,0.51342,1.3255,0.58285,1.01493,0.0015355,0.0015355,0.0015355
173,49629.2,0.99988,0.47159,0.8957,0.89343,0.75856,0.82459,0.51351,1.32574,0.58284,1.01494,0.001486,0.001486,0.001486
174,49845.3,0.98535,0.46071,0.89191,0.89434,0.75856,0.82461,0.51373,1.32578,0.5829,1.01496,0.0014365,0.0014365,0.0014365
175,50059.8,0.98899,0.46409,0.89248,0.89422,0.75862,0.82463,0.51372,1.32571,0.58289,1.01486,0.001387,0.001387,0.001387
176,50277.8,0.99534,0.46787,0.89356,0.89421,0.75878,0.82489,0.51385,1.32585,0.58279,1.01493,0.0013375,0.0013375,0.0013375
177,50493.8,0.98893,0.46534,0.89294,0.89503,0.75821,0.82487,0.51392,1.32575,0.5827,1.01498,0.001288,0.001288,0.001288
178,50709,0.98889,0.46338,0.89198,0.89546,0.75827,0.82494,0.51405,1.3257,0.58271,1.0149,0.0012385,0.0012385,0.0012385
179,50924.6,0.9849,0.46294,0.89198,0.89559,0.75846,0.82498,0.5142,1.32585,0.58257,1.01497,0.001189,0.001189,0.001189
180,51136.2,0.98142,0.46058,0.89134,0.89554,0.75835,0.82498,0.5142,1.3259,0.58243,1.01505,0.0011395,0.0011395,0.0011395
181,51349.7,0.9829,0.45963,0.8889,0.89428,0.75885,0.82507,0.51428,1.32614,0.58237,1.01516,0.00109,0.00109,0.00109
